OPEN BADGE 1,
nom,Impression 3D Bambu Lab
nombre de niveau,3
intitulé court,Certification permettant d'utiliser les machines d'impression 3D Bambu lab du fab lab
niveau 1 - titre,Utilisateur autonome
niveau 1 - description,"Personne autonome qui sait utiliser la machine dans des conditions standards. Elle représente la majorité des usagers du FabLab.

- Connaître le fonctionnement théorique et la composition de la machine

- Connaître les matériaux standards : PLA, ABS, PVA, PP, PET, ASA, etc.

- Connaître les dangers et les risques corporels liés à l'utilisation de la machine :
incendie, émission de composés toxiques, brulures, etc.

- Connaître les dangers et les risques techniques liés à l'utilisation de la machine :
utilisation dans un environnement poussiéreux, éjection plateau, collision buse - obstacle, etc.

- Savoir utiliser le logiciel de fabrication : paramétrer, générer le fichier, etc.

- Connaître les types de fichiers utilisés : Gcode, STL, etc.

- Connaître la méthode de transfert du GCode en fonction de la machine : réseau, USB, etc.

- Savoir configurer le logiciel avec les paramètres standards : ajouter une pièce, positionner une pièce, orienter une pièce, ajouter des supports, etc.

- Savoir réaliser les vérifications d'usage avant le lancement du travail : plateau apprêté, nature du matériau conforme, matériau chargé et en quantité suffisante, machine et buse propres, etc.

- Savoir préparer le travail : mise à niveau et nettoyage du plateau, changement de consommable, etc.

- Savoir surveiller le travail et intervenir : mettre en pause, reprise, arrêt urgence, déplacement manuel, etc.

- Savoir réagir et intervenir en cas de danger iminnent.

- Savoir manipuler et stocker le matériel : outils, produits de nettoyage, matériaux consommables, etc.

- Savoir contrôler la fabrication de manière qualitative (de visu), pendant et après la fabrication : décollement de la pièce, mauvaise impression, etc."
niveau 2 - titre,Utilisateur avancé
niveau 2 - description,"Personne qui maîtrise la machine de manière plus avancée, qui est familière de son utilisation. Elle est capable de procéder aux réglages avancés et d'en assurer la maintenance courante. Elle est capable d'accompagner le niveau 1.

- Savoir identifier et corriger les défauts  : warping, sur-extrusion, sous-extrusion, problème température, etc.

- Savoir configurer le logiciel avec les paramètres avancés pour optimiser la fabrication : température, orientation, remplissage, finesse, vitesse, etc."
niveau 3 - titre,Utilisateur expert
niveau 3 - description,"Personne experte avec une connaissance/expérience précise de la technologie et du process. Personne ressource pour des réglages très précis et des pièces de
haute technicité. Elle est capable d'assurer la maintenance avancée et d'accompagner les niveaux 1 et 2.

- Savoir assurer la maintenance avancée : nettoyage et graissage des axes, nettoyage et changement de la buse d'extrusion, etc"
niveau nécessaire pour attribuer l'open badge,niveau 2
catégorie,machine
image de couverture,
OPEN BADGE 2,
nom,découpe laser Laserbox
nombre de niveau,3
intitulé court,Certification permettant d'utiliser la machine de découpe laser Laserbox du fab lab
niveau 1 - titre,Utilisateur autonome
